vertex_1,vertex_2,diameter,length,flow_rate,rbc_velocity,ht,rbc_probability
84,133,4.1081786156e-06,5.533755908857857e-05,-6.941665843460236e-18,-6.301780051148716e-07,0.3,0.3333333333333333
85,116,5.010532856e-06,8.803118619434352e-06,6.548384321784816e-17,4.251515471099672e-06,0.3,1.0
86,206,4.0613489152e-06,3.199854208428198e-05,-3.8767542875671554e-17,-3.5867127101859026e-06,0.3,1.0
87,6557,3.1747989654e-06,0.0001390886027816,-3.6387030328283054e-18,-5.015338037473273e-07,0.3,0.3333333333333333
87,122,3.0738329888e-06,0.0001695225381874,1.47372158490242e-17,2.1384044421362287e-06,0.3,0.3333333333333333
87,555,3.4094920158e-06,0.0001211479612416,-1.1098512816195873e-17,-1.3648850258564344e-06,0.3,0.3333333333333333
88,104,3.861564159399999e-06,2.102457954745281e-05,5.666755676548969e-17,5.69592437471992e-06,0.3,0.3089659850657981
88,138,5.3201751708e-06,2.5341687834789587e-05,-6.386479267737378e-17,-3.736493490682297e-06,0.3,0.6844510208586554
89,139,3.2278666496e-06,1.0610365985079726e-05,1.104144211108549e-17,1.4821887935682463e-06,0.3,1.0
90,114,4.4e-05,5.928694207795489e-05,3.032342681998282e-15,2.5778613152088502e-06,0.3,0.2924085725628014
90,218,1.89348106384e-05,3.087345747344081e-05,-2.13148192574929e-16,-1.0556792944930642e-06,0.3,0.756940989778316
91,208,3.7579767704e-06,3.5291799782024934e-05,-3.487555231822552e-17,-3.6646021147639817e-06,0.3,1.0
